model_count,batch,use_det,use_seg,use_pose,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_fps_det,avg_fps_seg,avg_fps_pose,avg_latency_det,avg_latency_seg,avg_latency_pose,npu_percent,switches_per_s,idle_time_pct,cpu_percent,mem_percent
3,1,1,1,1,0,31,15,1365.813,482.117,792.2,82.156,33.066,57.463,,20.347,0.039,,377.43,30.323,99.261,0.052,0.002,3.843,23.502
3,1,1,1,1,0,31,31,1446.727,871.204,858.344,87.106,62.364,62.41,,10.203,10.189,,41.264,30.687,97.33,20.419,0.002,4.059,23.518
3,1,1,1,1,15,0,0,428.469,1171.06,1157.72,24.756,84.912,84.931,26.64,0.237,0.21,284.655,46.582,30.939,98.065,0.513,0.002,3.391,23.425
3,1,1,1,1,15,0,15,901.09,1198.647,742.288,53.769,86.819,53.692,11.948,0.04,12.027,32.396,40.114,31.321,97.411,23.963,0.002,3.887,23.432
3,1,1,1,1,15,0,31,826.267,1136.633,355.418,49.131,82.182,24.433,0.677,,26.846,150.142,,276.587,99.684,0.08,0.005,4.943,23.509
3,1,1,1,1,15,15,0,1026.36,856.099,1171.543,61.422,61.259,85.827,10.57,10.729,,32.329,42.691,,97.613,21.206,0.002,3.633,23.421
3,1,1,1,1,15,15,15,1454.893,1209.873,1196.67,87.954,87.891,87.911,7.24,7.267,7.254,32.361,41.246,30.652,96.468,21.787,0.002,3.937,23.558
3,1,1,1,1,15,15,31,1407.75,1171.12,355.877,84.915,84.906,24.464,0.264,0.277,26.664,31.728,42.934,275.789,98.288,0.606,0.002,4.919,23.506
3,1,1,1,1,15,31,0,966.863,481.993,1122.397,57.75,33.057,82.154,,20.36,,,378.039,,99.538,0.039,0.003,3.832,23.52
3,1,1,1,1,15,31,15,1408.183,482.027,1158.03,84.89,33.055,84.925,,20.358,,,378.055,,98.238,0.039,0.002,3.876,23.533
3,1,1,1,1,15,31,31,1446.483,870.942,858.067,87.085,62.344,62.376,,10.224,10.183,,41.404,30.7,97.355,20.42,0.002,4.042,23.487
3,1,1,1,1,31,0,0,428.208,1170.727,1157.417,24.749,84.888,84.926,26.863,0.159,0.132,284.711,41.132,31.116,98.571,0.345,0.002,3.374,23.513
3,1,1,1,1,31,0,15,428.832,1136.36,681.672,24.779,82.16,49.186,26.494,0.065,0.669,284.696,56.354,157.398,99.275,0.118,0.002,3.411,23.449
3,1,1,1,1,31,0,31,900.714,1198.8,743.267,53.785,86.83,53.769,11.997,0.039,11.997,32.408,40.383,30.795,97.257,24.034,0.005,3.863,23.412
3,1,1,1,1,31,15,0,428.645,810.343,1122.453,24.771,57.774,82.159,26.519,0.525,0.079,284.691,157.113,47.478,99.261,0.118,0.003,3.354,23.446
3,1,1,1,1,31,15,15,429.626,1170.09,1158.597,24.829,84.838,84.946,26.519,0.315,0.224,285.055,75.021,31.012,98.156,0.526,0.002,3.396,23.614
3,1,1,1,1,31,15,31,899.938,1198.177,743.329,53.744,86.783,53.776,12.012,0.039,11.986,32.394,39.819,30.768,97.315,24.064,0.004,3.819,23.471
3,1,1,1,1,31,31,0,1025.513,858.807,1171.563,61.491,61.466,85.83,10.623,10.636,0.276,32.303,41.072,137.511,97.437,21.298,0.001,3.7,23.545
3,1,1,1,1,31,31,15,1023.363,857.343,1171.143,61.374,61.363,85.797,10.674,10.687,,32.321,41.05,,97.436,21.388,0.002,3.646,23.547
3,1,1,1,1,31,31,31,1455.2,1211.183,1196.373,87.962,87.966,87.904,7.25,7.237,7.263,32.387,41.161,30.882,96.936,21.762,0.002,4.01,23.428
3,10,1,1,1,0,0,0,1751.897,1674.423,1636.023,47.024,47.032,47.025,11.524,11.549,11.577,203.594,283.724,261.197,96.469,3.538,0.007,13.243,26.047
3,10,1,1,1,0,0,15,1783.607,1704.747,635.019,47.591,47.619,14.909,4.516,4.396,26.812,305.532,442.656,194.935,97.027,3.665,0.002,13.655,26.238
3,10,1,1,1,0,0,31,1785.327,1706.05,635.356,47.618,47.702,14.941,4.658,4.367,26.719,304.874,443.45,195.433,96.478,3.639,0.005,13.737,26.167
